"sample.id"	"Barcode.sequence"	"Reactor"	"Days"	"Run"	"Year"	"Type"	"Identity"	"PCR.Cycles"	"Description"	"Time"
"Samp165"	"Samp165"	""	"L3"	"100"	"Run2"	"2019"	"100_G18"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D100"
"Samp166"	"Samp166"	""	"L3"	"58"	"Run2"	"2019"	"058_G19"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D058"
"Samp167"	"Samp167"	""	"L3"	"58"	"Run2"	"2019"	"058_G24"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D058"
"Samp17"	"Samp17"	""	"L2"	"44"	"Run1"	"2019"	"044_G26"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D044"
"Samp18"	"Samp18"	""	"L4"	"86"	"Run1"	"2019"	"086_G13"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D086"
"Samp19"	"Samp19"	""	"L5"	"71"	"Run1"	"2019"	"071_G2"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D071"
"Samp20"	"Samp20"	""	"L5"	"71"	"Run1"	"2019"	"071_G11"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D071"
"Samp21"	"Samp21"	""	"L1"	"99"	"Run1"	"2019"	"099_G20"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D099"
"Samp22"	"Samp22"	""	"R"	"85"	"Run1"	"2019"	"085_G14"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp23"	"Samp23"	""	"L1"	"85"	"Run1"	"2019"	"085_G5"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp24"	"Samp24"	""	"L1"	"85"	"Run1"	"2019"	"085_G12"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp25"	"Samp25"	""	"L1"	"85"	"Run1"	"2019"	"085_G14"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp26"	"Samp26"	""	"L3"	"85"	"Run1"	"2019"	"085_G5"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp27"	"Samp27"	""	"L3"	"85"	"Run1"	"2019"	"085_G12"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp28"	"Samp28"	""	"L3"	"85"	"Run1"	"2019"	"085_G14"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp29"	"Samp29"	""	"L2"	"86"	"Run1"	"2019"	"086_G9"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D086"
"Samp34"	"Samp34"	""	"L3"	"61"	"Run1"	"2019"	"061_G5"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D061"
"Samp35"	"Samp35"	""	"L3"	"99"	"Run1"	"2019"	"099_G12"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D099"
"Samp36"	"Samp36"	""	"L1"	"34"	"Run1"	"2019"	"034_G19"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D034"
"Samp37"	"Samp37"	""	"R"	"85"	"Run1"	"2019"	"085_G33"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp38"	"Samp38"	""	"L1"	"85"	"Run1"	"2019"	"085_G33"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp39"	"Samp39"	""	"L3"	"85"	"Run1"	"2019"	"085_G33"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp40"	"Samp40"	""	"L2"	"86"	"Run1"	"2019"	"086_G1"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D086"
"Samp88"	"Samp88"	""	"L2"	"86"	"Run1"	"2019"	"086_G25"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D086"
"Samp89"	"Samp89"	""	"L3"	"61"	"Run1"	"2019"	"061_G18"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D061"
"Samp90"	"Samp90"	""	"L3"	"63"	"Run1"	"2019"	"063_G4"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D063"
"Samp91"	"Samp91"	""	"L3"	"63"	"Run1"	"2019"	"063_G9"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D063"
