""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV2094"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Duganella"	NA
"ASV2106"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales Incertae Sedis"	"Unassigned"	NA
"ASV2117"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Unassigned"	NA
"ASV2120"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermabacteraceae"	"Brachybacterium"	NA
"ASV2129"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Hymenobacter"	NA
"ASV2140"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"PeM15"	"Unassigned"	"Unassigned"	NA
"ASV2151"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiaceae"	"Unassigned"	NA
"ASV2174"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae 1"	"Clostridium sensu stricto 12"	NA
"ASV2233"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sneathiellales"	"Sneathiellaceae"	"Ferrovibrio"	NA
"ASV2256"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	NA
"ASV2275"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium"	NA
"ASV2302"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Anoxybacillus"	NA
"ASV2306"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Rhizorhapis"	NA
"ASV2319"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Leadbetterella"	NA
"ASV2343"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA
"ASV2380"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacter"	NA
"ASV2385"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Amaricoccus"	NA
"ASV2398"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Burkholderia-Caballeronia-Paraburkholderia"	NA
"ASV2424"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family XI"	"Anaerococcus"	NA
"ASV2494"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"ASV2498"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family XIII"	"Anaerovorax"	NA
"ASV2522"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	NA
"ASV2523"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rudaea"	NA
"ASV2526"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"OLB8"	NA
"ASV2527"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Arenimonas"	NA
"ASV2531"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Tepidimonas"	NA
"ASV2585"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Haemophilus"	NA
"ASV2590"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ochrobactrum"	NA
"ASV2602"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Microvirga"	NA
"ASV2645"	"Bacteria"	"Chlamydiae"	"Chlamydiae"	"Chlamydiales"	"Parachlamydiaceae"	"Candidatus Protochlamydia"	NA
"ASV2653"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Sediminibacterium"	NA
"ASV2673"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pseudopedobacter"	NA
"ASV2687"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Arcanobacterium"	NA
"ASV2689"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Parapusillimonas"	NA
"ASV2691"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family XI"	"Tissierella"	NA
"ASV2697"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	NA
"ASV2698"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Pseudolabrys"	NA
"ASV2753"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA
"ASV2771"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family XI"	"Unassigned"	NA
"ASV2780"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Variovorax"	NA
"ASV2786"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"SM2D12"	"Unassigned"	NA
"ASV2803"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Ornithinimicrobium"	NA
"ASV2823"	"Bacteria"	"Chlamydiae"	"Chlamydiae"	"Chlamydiales"	"Parachlamydiaceae"	"Neochlamydia"	NA
"ASV2873"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	NA
"ASV2879"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Cryptosporangiaceae"	"Fodinicola"	NA
"ASV2884"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Vermiphilaceae"	"Unassigned"	NA
"ASV2890"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Hydrotalea"	NA
"ASV2904"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bacteriovoracaceae"	"Bacteriovorax"	NA
"ASV2908"	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Chloroplast"	"Platanus occidentalis"	"Platanus occidentalis"	NA
"ASV2914"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Achromobacter"	NA
"ASV2928"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Mesorhizobium"	NA
