sample.id	Barcode-sequence	Reactor	Days	Run	Year	Type	Identity	PCR.Cycles	Description	Time
Samp72		L4	90	Run2	2019	WC	Community-80	25	Illumina MiSeq sequencing	D090
Samp73		L5	90	Run2	2019	WC	Community-81	25	Illumina MiSeq sequencing	D090
Samp74		R	90	Run2	2019	WC	Community-82	25	Illumina MiSeq sequencing	D090
Samp75		L1	97	Run2	2019	WC	Community-83	25	Illumina MiSeq sequencing	D097
Samp76		L2	97	Run2	2019	WC	Community-84	25	Illumina MiSeq sequencing	D097
Samp77		L3	97	Run2	2019	WC	Community-85	25	Illumina MiSeq sequencing	D097
Samp78		L4	97	Run2	2019	WC	Community-86	25	Illumina MiSeq sequencing	D097
Samp79		L5	97	Run2	2019	WC	Community-87	25	Illumina MiSeq sequencing	D097
Samp80		R	97	Run2	2019	WC	Community-88	25	Illumina MiSeq sequencing	D097
Samp81		L1	100	Run2	2019	WC	Community-89	25	Illumina MiSeq sequencing	D100
Samp82		L3	100	Run2	2019	WC	Community-90	25	Illumina MiSeq sequencing	D100
Samp83		L1	107	Run2	2019	WC	Community-91	25	Illumina MiSeq sequencing	D107
Samp84		L2	107	Run2	2019	WC	Community-92	25	Illumina MiSeq sequencing	D107
Samp85		L3	107	Run2	2019	WC	Community-93	25	Illumina MiSeq sequencing	D107
Samp86		L4	107	Run2	2019	WC	Community-94	25	Illumina MiSeq sequencing	D107
Samp87		L5	107	Run2	2019	WC	Community-95	25	Illumina MiSeq sequencing	D107
Samp99		L1	0	Run1	2019	WC	Community_01	35	Illumina MiSeq sequencing	D000
